id,name,name_ja,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed
69,bellsprout,マダツボミ,grass,poison,50,75,35,70,30,40
70,weepinbell,ウツドン,grass,poison,65,90,50,85,45,55
71,victreebel,ウツボット,grass,poison,80,105,65,100,70,70
72,tentacool,メノクラゲ,water,poison,40,40,35,50,100,70
73,tentacruel,ドククラゲ,water,poison,80,70,65,80,120,100
74,geodude,イシツブテ,rock,ground,40,80,100,30,30,20
75,graveler,ゴローン,rock,ground,55,95,115,45,45,35
76,golem,ゴローニャ,rock,ground,80,120,130,55,65,45
77,ponyta,ポニータ,fire,,50,85,55,65,65,90
78,rapidash,ギャロップ,fire,,65,100,70,80,80,105
79,slowpoke,ヤドン,water,psychic,90,65,65,40,40,15
80,slowbro,ヤドラン,water,psychic,95,75,110,100,80,30
81,magnemite,コイル,electric,steel,25,35,70,95,55,45
82,magneton,レアコイル,electric,steel,50,60,95,120,70,70
83,farfetchd,カモネギ,normal,flying,52,90,55,58,62,60
84,doduo,ドードー,normal,flying,35,85,45,35,35,75
85,dodrio,ドードリオ,normal,flying,60,110,70,60,60,110
86,seel,パウワウ,water,,65,45,55,45,70,45
87,dewgong,ジュゴン,water,ice,90,70,80,70,95,70
88,grimer,ベトベター,poison,,80,80,50,40,50,25
89,muk,ベトベトン,poison,,105,105,75,65,100,50
90,shellder,シェルダー,water,,30,65,100,45,25,40
91,cloyster,パルシェン,water,ice,50,95,180,85,45,70
92,gastly,ゴース,ghost,poison,30,35,30,100,35,80
93,haunter,ゴースト,ghost,poison,45,50,45,115,55,95
94,gengar,ゲンガー,ghost,poison,60,65,60,130,75,110
95,onix,イワーク,rock,ground,35,45,160,30,45,70
96,drowzee,スリープ,psychic,,60,48,45,43,90,42
97,hypno,スリーパー,psychic,,85,73,70,73,115,67
98,krabby,クラブ,water,,30,105,90,25,25,50
99,kingler,キングラー,water,,55,130,115,50,50,75
100,voltorb,ビリリダマ,electric,,40,30,50,55,55,100
101,electrode,マルマイン,electric,,60,50,70,80,80,150
102,exeggcute,タマタマ,grass,psychic,60,40,80,60,45,40
103,exeggutor,ナッシー,grass,psychic,95,95,85,125,75,55
104,cubone,カラカラ,ground,,50,50,95,40,50,35
105,marowak,ガラガラ,ground,,60,80,110,50,80,45
106,hitmonlee,サワムラー,fighting,,50,120,53,35,110,87
107,hitmonchan,エビワラー,fighting,,50,105,79,35,110,76
108,lickitung,ベロリンガ,normal,,90,55,75,60,75,30
109,koffing,ドガース,poison,,40,65,95,60,45,35
110,weezing,マタドガス,poison,,65,90,120,85,70,60
111,rhyhorn,サイホーン,ground,rock,80,85,95,30,30,25
112,rhydon,サイドン,ground,rock,105,130,120,45,45,40
113,chansey,ラッキー,normal,,250,5,5,35,105,50
114,tangela,モンジャラ,grass,,65,55,115,100,40,60
115,kangaskhan,ガルーラ,normal,,105,95,80,40,80,90
116,horsea,タッツー,water,,30,40,70,70,25,60
117,seadra,シードラ,water,,55,65,95,95,45,85
118,goldeen,トサキント,water,,45,67,60,35,50,63
119,seaking,アズマオウ,water,,80,92,65,65,80,68
120,staryu,ヒトデマン,water,,30,45,55,70,55,85
121,starmie,スターミー,water,psychic,60,75,85,100,85,115
122,mr-mime,バリヤード,psychic,fairy,40,45,65,100,120,90
123,scyther,ストライク,bug,flying,70,110,80,55,80,105
124,jynx,ルージュラ,ice,psychic,65,50,35,115,95,95
125,electabuzz,エレブー,electric,,65,83,57,95,85,105
126,magmar,ブーバー,fire,,65,95,57,100,85,93
127,pinsir,カイロス,bug,,65,125,100,55,70,85
128,tauros,ケンタロス,normal,,75,100,95,40,70,110
129,magikarp,コイキング,water,,20,10,55,15,20,80
130,gyarados,ギャラドス,water,flying,95,125,79,60,100,81
131,lapras,ラプラス,water,ice,130,85,80,85,95,60
132,ditto,メタモン,normal,,48,48,48,48,48,48
133,eevee,イーブイ,normal,,55,55,50,45,65,55
134,vaporeon,シャワーズ,water,,130,65,60,110,95,65
135,jolteon,サンダース,electric,,65,65,60,110,95,130
136,flareon,ブースター,fire,,65,130,60,95,110,65
137,porygon,ポリゴン,normal,,65,60,70,85,75,40
138,omanyte,オムナイト,rock,water,35,40,100,90,55,35
139,omastar,オムスター,rock,water,70,60,125,115,70,55
140,kabuto,カブト,rock,water,30,80,90,55,45,55
141,kabutops,カブトプス,rock,water,60,115,105,65,70,80
142,aerodactyl,プテラ,rock,flying,80,105,65,60,75,130
143,snorlax,カビゴン,normal,,160,110,65,65,110,30
144,articuno,フリーザー,ice,flying,90,85,100,95,125,85
145,zapdos,サンダー,electric,flying,90,90,85,125,90,100
146,moltres,ファイヤー,fire,flying,90,100,90,125,85,90
147,dratini,ミニリュウ,dragon,,41,64,45,50,50,50
148,dragonair,ハクリュー,dragon,,61,84,65,70,70,70
149,dragonite,カイリュー,dragon,flying,91,134,95,100,100,80
150,mewtwo,ミュウツー,psychic,,106,110,90,154,90,130
151,mew,ミュウ,psychic,,100,100,100,100,100,100
