id,name,name_ja,type,category,power,accuracy,pp
213,attract,メロメロ,normal,status,,100,15
214,sleep-talk,ねごと,normal,status,,,10
215,heal-bell,いやしのすず,normal,status,,,5
216,return,おんがえし,normal,physical,,100,20
217,present,プレゼント,normal,physical,,90,15
218,frustration,やつあたり,normal,physical,,100,20
219,safeguard,しんぴのまもり,normal,status,,,25
220,pain-split,いたみわけ,normal,status,,,20
221,sacred-fire,せいなるほのお,fire,physical,100,95,5
222,magnitude,マグニチュード,ground,physical,,100,30
223,dynamic-punch,ばくれつパンチ,fighting,physical,100,50,5
224,megahorn,メガホーン,bug,physical,120,85,10
225,dragon-breath,りゅうのいぶき,dragon,special,60,100,20
226,baton-pass,バトンタッチ,normal,status,,,40
227,encore,アンコール,normal,status,,100,5
228,pursuit,おいうち,dark,physical,40,100,20
229,rapid-spin,こうそくスピン,normal,physical,50,100,40
230,sweet-scent,あまいかおり,normal,status,,100,20
231,iron-tail,アイアンテール,steel,physical,100,75,15
232,metal-claw,メタルクロー,steel,physical,50,95,35
233,vital-throw,あてみなげ,fighting,physical,70,,10
234,morning-sun,あさのひざし,normal,status,,,5
235,synthesis,こうごうせい,grass,status,,,5
236,moonlight,つきのひかり,fairy,status,,,5
237,hidden-power,めざめるパワー,normal,special,60,100,15
238,cross-chop,クロスチョップ,fighting,physical,100,80,5
239,twister,たつまき,dragon,special,40,100,20
240,rain-dance,あまごい,water,status,,,5
241,sunny-day,にほんばれ,fire,status,,,5
242,crunch,かみくだく,dark,physical,80,100,15
243,mirror-coat,ミラーコート,psychic,special,,100,20
244,psych-up,じこあんじ,normal,status,,,10
245,extreme-speed,しんそく,normal,physical,80,100,5
246,ancient-power,げんしのちから,rock,special,60,100,5
247,shadow-ball,シャドーボール,ghost,special,80,100,15
248,future-sight,みらいよち,psychic,special,120,100,10
249,rock-smash,いわくだき,fighting,physical,40,100,15
250,whirlpool,うずしお,water,special,35,85,15
251,beat-up,ふくろだたき,dark,physical,,100,10
252,fake-out,ねこだまし,normal,physical,40,100,10
253,uproar,さわぐ,normal,special,90,100,10
254,stockpile,たくわえる,normal,status,,,20
255,spit-up,はきだす,normal,special,,100,10
256,swallow,のみこむ,normal,status,,,10
257,heat-wave,ねっぷう,fire,special,95,90,10
258,hail,あられ,ice,status,,,10
259,torment,いちゃもん,dark,status,,100,15
260,flatter,おだてる,dark,status,,100,15
261,will-o-wisp,おにび,fire,status,,85,15
262,memento,おきみやげ,dark,status,,100,10
263,facade,からげんき,normal,physical,70,100,20
264,focus-punch,きあいパンチ,fighting,physical,150,100,20
265,smelling-salts,きつけ,normal,physical,70,100,10
266,follow-me,このゆびとまれ,normal,status,,,20
267,nature-power,しぜんのちから,normal,status,,,20
268,charge,じゅうでん,electric,status,,,20
269,taunt,ちょうはつ,dark,status,,100,20
270,helping-hand,てだすけ,normal,status,,,20
271,trick,トリック,psychic,status,,100,10
272,role-play,なりきり,psychic,status,,,10
273,wish,ねがいごと,normal,status,,,10
274,assist,ねこのて,normal,status,,,20
275,ingrain,ねをはる,grass,status,,,20
276,superpower,ばかぢから,fighting,physical,120,100,5
277,magic-coat,マジックコート,psychic,status,,,15
278,recycle,リサイクル,normal,status,,,10
279,revenge,リベンジ,fighting,physical,60,100,10
280,brick-break,かわらわり,fighting,physical,75,100,15
281,yawn,あくび,normal,status,,,10
282,knock-off,はたきおとす,dark,physical,65,100,20
283,endeavor,がむしゃら,normal,physical,,100,5
284,eruption,ふんか,fire,special,150,100,5
285,skill-swap,スキルスワップ,psychic,status,,,10
286,imprison,ふういん,psychic,status,,,10
287,refresh,リフレッシュ,normal,status,,,20
288,grudge,おんねん,ghost,status,,,5
289,snatch,よこどり,dark,status,,,10
290,secret-power,ひみつのちから,normal,physical,70,100,20
291,dive,ダイビング,water,physical,80,100,10
292,arm-thrust,つっぱり,fighting,physical,15,100,20
293,camouflage,ほごしょく,normal,status,,,20
294,tail-glow,ほたるび,bug,status,,,20
295,luster-purge,ラスターパージ,psychic,special,95,100,5
296,mist-ball,ミストボール,psychic,special,95,100,5
297,feather-dance,フェザーダンス,flying,status,,100,15
298,teeter-dance,フラフラダンス,normal,status,,100,20
299,blaze-kick,ブレイズキック,fire,physical,85,90,10
300,mud-sport,どろあそび,ground,status,,,15
301,ice-ball,アイスボール,ice,physical,30,90,20
302,needle-arm,ニードルアーム,grass,physical,60,100,15
303,slack-off,なまける,normal,status,,,5
304,hyper-voice,ハイパーボイス,normal,special,90,100,10
305,poison-fang,どくどくのキバ,poison,physical,50,100,15
306,crush-claw,ブレイククロー,normal,physical,75,95,10
307,blast-burn,ブラストバーン,fire,special,150,90,5
308,hydro-cannon,ハイドロカノン,water,special,150,90,5
309,meteor-mash,コメットパンチ,steel,physical,90,90,10
310,astonish,おどろかす,ghost,physical,30,100,15
311,weather-ball,ウェザーボール,normal,special,50,100,10
312,aromatherapy,アロマセラピー,grass,status,,,5
313,fake-tears,うそなき,dark,status,,100,20
314,air-cutter,エアカッター,flying,special,60,95,25
315,overheat,オーバーヒート,fire,special,130,90,5
316,odor-sleuth,かぎわける,normal,status,,,40
317,rock-tomb,がんせきふうじ,rock,physical,60,95,15
318,silver-wind,ぎんいろのかぜ,bug,special,60,100,5
319,metal-sound,きんぞくおん,steel,status,,85,40
320,grass-whistle,くさぶえ,grass,status,,55,15
321,tickle,くすぐる,normal,status,,100,20
322,cosmic-power,コスモパワー,psychic,status,,,20
323,water-spout,しおふき,water,special,150,100,5
324,signal-beam,シグナルビーム,bug,special,75,100,15
325,shadow-punch,シャドーパンチ,ghost,physical,60,,20
326,extrasensory,じんつうりき,psychic,special,80,100,20
327,sky-uppercut,スカイアッパー,fighting,physical,85,90,15
328,sand-tomb,すなじごく,ground,physical,35,85,15
329,sheer-cold,ぜったいれいど,ice,special,,30,5
330,muddy-water,だくりゅう,water,special,90,85,10
331,bullet-seed,タネマシンガン,grass,physical,25,100,30
332,aerial-ace,つばめがえし,flying,physical,60,,20
333,icicle-spear,つららばり,ice,physical,25,100,30
334,iron-defense,てっぺき,steel,status,,,15
335,block,とおせんぼう,normal,status,,,5
336,howl,とおぼえ,normal,status,,,40
337,dragon-claw,ドラゴンクロー,dragon,physical,80,100,15
338,frenzy-plant,ハードプラント,grass,special,150,90,5
339,bulk-up,ビルドアップ,fighting,status,,,20
340,bounce,とびはねる,flying,physical,85,85,5
341,mud-shot,マッドショット,ground,special,55,95,15
342,poison-tail,ポイズンテール,poison,physical,50,100,25
343,covet,ほしがる,normal,physical,60,100,25
344,volt-tackle,ボルテッカー,electric,physical,120,100,15
345,magical-leaf,マジカルリーフ,grass,special,60,,20
346,water-sport,みずあそび,water,status,,,15
347,calm-mind,めいそう,psychic,status,,,20
348,leaf-blade,リーフブレード,grass,physical,90,100,15
349,dragon-dance,りゅうのまい,dragon,status,,,20
350,rock-blast,ロックブラスト,rock,physical,25,90,10
351,shock-wave,でんげきは,electric,special,60,,20
352,water-pulse,みずのはどう,water,special,60,100,20
353,doom-desire,はめつのねがい,steel,special,140,100,5
354,psycho-boost,サイコブースト,psychic,special,140,90,5
355,roost,はねやすめ,flying,status,,,5
356,gravity,じゅうりょく,psychic,status,,,5
357,miracle-eye,ミラクルアイ,psychic,status,,,40
358,wake-up-slap,めざましビンタ,fighting,physical,70,100,10
359,hammer-arm,アームハンマー,fighting,physical,100,90,10
360,gyro-ball,ジャイロボール,steel,physical,,100,5
361,healing-wish,いやしのねがい,psychic,status,,,10
362,brine,しおみず,water,special,65,100,10
363,natural-gift,しぜんのめぐみ,normal,physical,,100,15
364,feint,フェイント,normal,physical,30,100,10
365,pluck,ついばむ,flying,physical,60,100,20
366,tailwind,おいかぜ,flying,status,,,15
367,acupressure,つぼをつく,normal,status,,,30
368,metal-burst,メタルバースト,steel,physical,,100,10
369,u-turn,とんぼがえり,bug,physical,70,100,20
370,close-combat,インファイト,fighting,physical,120,100,5
371,payback,しっぺがえし,dark,physical,50,100,10
372,assurance,ダメおし,dark,physical,60,100,10
373,embargo,さしおさえ,dark,status,,100,15
374,fling,なげつける,dark,physical,,100,10
375,psycho-shift,サイコシフト,psychic,status,,100,10
376,trump-card,きりふだ,normal,special,,,5
377,heal-block,かいふくふうじ,psychic,status,,100,15
378,wring-out,しぼりとる,normal,special,,100,5
379,power-trick,パワートリック,psychic,status,,,10
380,gastro-acid,いえき,poison,status,,100,10
381,lucky-chant,おまじない,normal,status,,,30
382,me-first,さきどり,normal,status,,,20
383,copycat,まねっこ,normal,status,,,20
384,power-swap,パワースワップ,psychic,status,,,10
385,guard-swap,ガードスワップ,psychic,status,,,10
386,punishment,おしおき,dark,physical,,100,5
387,last-resort,とっておき,normal,physical,140,100,5
388,worry-seed,なやみのタネ,grass,status,,100,10
389,sucker-punch,ふいうち,dark,physical,70,100,5
390,toxic-spikes,どくびし,poison,status,,,20
391,heart-swap,ハートスワップ,psychic,status,,,10
392,aqua-ring,アクアリング,water,status,,,20
393,magnet-rise,でんじふゆう,electric,status,,,10
394,flare-blitz,フレアドライブ,fire,physical,120,100,15
395,force-palm,はっけい,fighting,physical,60,100,10
396,aura-sphere,はどうだん,fighting,special,80,,20
397,rock-polish,ロックカット,rock,status,,,20
398,poison-jab,どくづき,poison,physical,80,100,20
399,dark-pulse,あくのはどう,dark,special,80,100,15
400,night-slash,つじぎり,dark,physical,70,100,15
401,aqua-tail,アクアテール,water,physical,90,90,10
402,seed-bomb,タネばくだん,grass,physical,80,100,15
403,air-slash,エアスラッシュ,flying,special,75,95,15
404,x-scissor,シザークロス,bug,physical,80,100,15
405,bug-buzz,むしのさざめき,bug,special,90,100,10
406,dragon-pulse,りゅうのはどう,dragon,special,85,100,10
407,dragon-rush,ドラゴンダイブ,dragon,physical,100,75,10
408,power-gem,パワージェム,rock,special,80,100,20
409,drain-punch,ドレインパンチ,fighting,physical,75,100,10
410,vacuum-wave,しんくうは,fighting,special,40,100,30
411,focus-blast,きあいだま,fighting,special,120,70,5
412,energy-ball,エナジーボール,grass,special,90,100,10
413,brave-bird,ブレイブバード,flying,physical,120,100,15
414,earth-power,だいちのちから,ground,special,90,100,10
415,switcheroo,すりかえ,dark,status,,100,10
416,giga-impact,ギガインパクト,normal,physical,150,90,5
417,nasty-plot,わるだくみ,dark,status,,,20
418,bullet-punch,バレットパンチ,steel,physical,40,100,30
419,avalanche,ゆきなだれ,ice,physical,60,100,10
420,ice-shard,こおりのつぶて,ice,physical,40,100,30
421,shadow-claw,シャドークロー,ghost,physical,70,100,15
422,thunder-fang,かみなりのキバ,electric,physical,65,95,15
423,ice-fang,こおりのキバ,ice,physical,65,95,15
424,fire-fang,ほのおのキバ,fire,physical,65,95,15
425,shadow-sneak,かげうち,ghost,physical,40,100,30
426,mud-bomb,どろばくだん,ground,special,65,85,10
427,psycho-cut,サイコカッター,psychic,physical,70,100,20
428,zen-headbutt,しねんのずつき,psychic,physical,80,90,15
429,mirror-shot,ミラーショット,steel,special,65,85,10
430,flash-cannon,ラスターカノン,steel,special,80,100,10
431,rock-climb,ロッククライム,normal,physical,90,85,20
432,defog,きりばらい,flying,status,,,15
433,trick-room,トリックルーム,psychic,status,,,5
434,draco-meteor,りゅうせいぐん,dragon,special,130,90,5
435,discharge,ほうでん,electric,special,80,100,15
436,lava-plume,ふんえん,fire,special,80,100,15
437,leaf-storm,リーフストーム,grass,special,130,90,5
438,power-whip,パワーウィップ,grass,physical,120,85,10
439,rock-wrecker,がんせきほう,rock,physical,150,90,5
440,cross-poison,クロスポイズン,poison,physical,70,100,20
441,gunk-shot,ダストシュート,poison,physical,120,80,5
442,iron-head,アイアンヘッド,steel,physical,80,100,15
443,magnet-bomb,マグネットボム,steel,physical,60,,20
444,stone-edge,ストーンエッジ,rock,physical,100,80,5
445,captivate,ゆうわく,normal,status,,100,20
446,stealth-rock,ステルスロック,rock,status,,,20
447,grass-knot,くさむすび,grass,special,,100,20
448,chatter,おしゃべり,flying,special,65,100,20
449,judgment,さばきのつぶて,normal,special,100,100,10
450,bug-bite,むしくい,bug,physical,60,100,20
451,charge-beam,チャージビーム,electric,special,50,90,10
452,wood-hammer,ウッドハンマー,grass,physical,120,100,15
453,aqua-jet,アクアジェット,water,physical,40,100,20
454,attack-order,こうげきしれい,bug,physical,90,100,15
455,defend-order,ぼうぎょしれい,bug,status,,,10
456,heal-order,かいふくしれい,bug,status,,,10
457,head-smash,もろはのずつき,rock,physical,150,80,5
458,double-hit,ダブルアタック,normal,physical,35,90,10
459,roar-of-time,ときのほうこう,dragon,special,150,90,5
460,spacial-rend,あくうせつだん,dragon,special,100,95,5
461,lunar-dance,みかづきのまい,psychic,status,,,10
462,crush-grip,にぎりつぶす,normal,physical,,100,5
463,magma-storm,マグマストーム,fire,special,100,75,5
464,dark-void,ダークホール,dark,status,,50,10
465,seed-flare,シードフレア,grass,special,120,85,5
466,ominous-wind,あやしいかぜ,ghost,special,60,100,5
467,shadow-force,シャドーダイブ,ghost,physical,120,100,5
468,hone-claws,つめとぎ,dark,status,,,15
469,wide-guard,ワイドガード,rock,status,,,10
470,guard-split,ガードシェア,psychic,status,,,10
471,power-split,パワーシェア,psychic,status,,,10
472,wonder-room,ワンダールーム,psychic,status,,,10
473,psyshock,サイコショック,psychic,special,80,100,10
474,venoshock,ベノムショック,poison,special,65,100,10
475,autotomize,ボディパージ,steel,status,,,15
476,rage-powder,いかりのこな,bug,status,,,20
477,telekinesis,テレキネシス,psychic,status,,,15
478,magic-room,マジックルーム,psychic,status,,,10
479,smack-down,うちおとす,rock,physical,50,100,15
480,storm-throw,やまあらし,fighting,physical,60,100,10
481,flame-burst,はじけるほのお,fire,special,70,100,15
482,sludge-wave,ヘドロウェーブ,poison,special,95,100,10
483,quiver-dance,ちょうのまい,bug,status,,,20
484,heavy-slam,ヘビーボンバー,steel,physical,,100,10
485,synchronoise,シンクロノイズ,psychic,special,120,100,10
486,electro-ball,エレキボール,electric,special,,100,10
487,soak,みずびたし,water,status,,100,20
488,flame-charge,ニトロチャージ,fire,physical,50,100,20
489,coil,とぐろをまく,poison,status,,,20
490,low-sweep,ローキック,fighting,physical,65,100,20
491,acid-spray,アシッドボム,poison,special,40,100,20
492,foul-play,イカサマ,dark,physical,95,100,15
493,simple-beam,シンプルビーム,normal,status,,100,15
494,entrainment,なかまづくり,normal,status,,100,15
495,after-you,おさきにどうぞ,normal,status,,,15
496,round,りんしょう,normal,special,60,100,15
497,echoed-voice,エコーボイス,normal,special,40,100,15
498,chip-away,なしくずし,normal,physical,70,100,20
499,clear-smog,クリアスモッグ,poison,special,50,,15
500,stored-power,アシストパワー,psychic,special,20,100,10
501,quick-guard,ファストガード,fighting,status,,,15
502,ally-switch,サイドチェンジ,psychic,status,,,15
503,scald,ねっとう,water,special,80,100,15
504,shell-smash,からをやぶる,normal,status,,,15
505,heal-pulse,いやしのはどう,psychic,status,,,10
506,hex,たたりめ,ghost,special,65,100,10
507,sky-drop,フリーフォール,flying,physical,60,100,10
508,shift-gear,ギアチェンジ,steel,status,,,10
509,circle-throw,ともえなげ,fighting,physical,60,90,10
510,incinerate,やきつくす,fire,special,60,100,15
511,quash,さきおくり,dark,status,,100,15
512,acrobatics,アクロバット,flying,physical,55,100,15
513,reflect-type,ミラータイプ,normal,status,,,15
514,retaliate,かたきうち,normal,physical,70,100,5
515,final-gambit,いのちがけ,fighting,special,,100,5
516,bestow,ギフトパス,normal,status,,,15
517,inferno,れんごく,fire,special,100,50,5
518,water-pledge,みずのちかい,water,special,80,100,10
519,fire-pledge,ほのおのちかい,fire,special,80,100,10
520,grass-pledge,くさのちかい,grass,special,80,100,10
521,volt-switch,ボルトチェンジ,electric,special,70,100,20
522,struggle-bug,むしのていこう,bug,special,50,100,20
523,bulldoze,じならし,ground,physical,60,100,20
524,frost-breath,こおりのいぶき,ice,special,60,90,10
525,dragon-tail,ドラゴンテール,dragon,physical,60,90,10
526,work-up,ふるいたてる,normal,status,,,30
527,electroweb,エレキネット,electric,special,55,95,15
528,wild-charge,ワイルドボルト,electric,physical,90,100,15
529,drill-run,ドリルライナー,ground,physical,80,95,10
530,dual-chop,ダブルチョップ,dragon,physical,40,90,15
531,heart-stamp,ハートスタンプ,psychic,physical,60,100,25
532,horn-leech,ウッドホーン,grass,physical,75,100,10
533,sacred-sword,せいなるつるぎ,fighting,physical,90,100,15
534,razor-shell,シェルブレード,water,physical,75,95,10
535,heat-crash,ヒートスタンプ,fire,physical,,100,10
536,leaf-tornado,グラスミキサー,grass,special,65,90,10
537,steamroller,ハードローラー,bug,physical,65,100,20
538,cotton-guard,コットンガード,grass,status,,,10
539,night-daze,ナイトバースト,dark,special,85,95,10
540,psystrike,サイコブレイク,psychic,special,100,100,10
541,tail-slap,スイープビンタ,normal,physical,25,85,10
542,hurricane,ぼうふう,flying,special,110,70,10
543,head-charge,アフロブレイク,normal,physical,120,100,15
544,gear-grind,ギアソーサー,steel,physical,50,85,15
545,searing-shot,かえんだん,fire,special,100,100,5
546,techno-blast,テクノバスター,normal,special,120,100,5
547,relic-song,いにしえのうた,normal,special,75,100,10
548,secret-sword,しんぴのつるぎ,fighting,special,85,100,10
549,glaciate,こごえるせかい,ice,special,65,95,10
550,bolt-strike,らいげき,electric,physical,130,85,5
551,blue-flare,あおいほのお,fire,special,130,85,5
552,fiery-dance,ほのおのまい,fire,special,80,100,10
553,freeze-shock,フリーズボルト,ice,physical,140,90,5
