pokemon_id,ability_ids
442,"46,151"
443,"8,24"
444,"8,24"
445,"8,24"
446,"47,53,82"
447,"39,80,158"
448,"39,80,154"
449,"45,159"
450,"45,159"
451,"4,51,97"
452,"4,51,97"
453,"87,107,143"
454,"87,107,143"
455,26
456,"33,41,114"
457,"33,41,114"
458,"11,33,41"
459,"43,117"
460,"43,117"
461,"46,124"
462,"5,42,148"
463,"12,13,20"
464,"31,116,120"
465,"34,102,144"
466,"72,78"
467,"49,72"
468,"32,55,105"
469,"3,110,119"
470,"34,102"
471,"81,115"
472,"8,52,90"
473,"12,47,81"
474,"88,91,148"
475,"80,154,292"
476,"5,42,159"
477,"46,119"
478,"81,130"
479,26
480,26
481,26
482,26
483,"46,140"
484,"46,140"
485,"18,49"
486,112
487,"46,140"
488,26
489,93
490,93
491,123
492,30
493,121
494,162
495,"65,126"
496,"65,126"
497,"65,126"
498,"47,66"
499,"47,66"
500,"66,120"
501,"67,75"
502,"67,75"
503,"67,75"
504,"50,51,148"
505,"35,51,148"
506,"50,53,72"
507,"22,113,146"
508,"22,113,146"
509,"7,84,158"
510,"7,84,158"
511,"65,82"
512,"65,82"
513,"66,82"
514,"66,82"
515,"67,82"
516,"67,82"
517,"28,108,140"
518,"28,108,140"
519,"79,105,145"
520,"79,105,145"
521,"79,105,145"
522,"31,78,157"
523,"31,78,157"
524,"5,133,159"
525,"5,133,159"
526,"5,45,159"
527,"86,103,109"
528,"86,103,109"
529,"104,146,159"
530,"104,146,159"
531,"103,131,144"
532,"62,89,125"
533,"62,89,125"
534,"62,89,125"
535,"11,33,93"
536,"11,33,93"
537,"11,33,143"
538,"39,62,104"
539,"5,39,104"
540,"34,68,142"
541,"34,102,142"
542,"34,68,142"
543,"3,38,68"
544,"3,38,68"
545,"3,38,68"
546,"34,151,158"
547,"34,151,158"
548,"20,34,102"
549,"20,34,102"
550,"91,104,120"
551,"22,83,153"
552,"22,83,153"
553,"22,83,153"
554,"39,55"
555,"125,161"
556,"11,34,114"
557,"5,75,133"
558,"5,75,133"
559,"22,61,153"
560,"22,61,153"
561,"98,110,147"
562,152
563,152
564,"5,33,116"
565,"5,33,116"
566,129
567,129
568,"1,60,106"
569,"1,106,133"
570,149
571,149
572,"56,92,101"
573,"56,92,101"
574,"23,119,172"
575,"23,119,172"
576,"23,119,172"
577,"98,142,144"
578,"98,142,144"
579,"98,142,144"
580,"51,93,145"
581,"51,93,145"
582,"81,115,133"
583,"81,115,133"
584,"115,117,133"
585,"32,34,157"
586,"32,34,157"
587,"9,78"
588,"61,68,99"
589,"68,75,142"
590,"27,144"
591,"27,144"
592,"6,11,130"
593,"6,11,130"
594,"93,131,144"
595,"14,68,127"
596,"14,68,127"
597,160
598,"107,160"
599,"29,57,58"
600,"29,57,58"
601,"29,57,58"
602,26
603,26
604,26
605,"28,140,148"
606,"28,140,148"
607,"18,49,151"
608,"18,49,151"
609,"18,49,151"
610,"79,104,127"
611,"79,104,127"
612,"79,104,127"
613,"81,155,202"
614,"33,81,202"
615,26
616,"75,93,142"
617,"60,84,93"
618,"7,8,9"
619,"39,120,144"
620,"39,120,144"
621,"24,104,125"
622,"89,99,103"
623,"89,99,103"
624,"39,46,128"
625,"39,46,128"
626,"43,120,157"
627,"51,55,125"
628,"51,125,128"
629,"133,142,145"
630,"133,142,145"
631,"18,73,82"
632,"54,55,68"
633,55
634,55
635,26
636,"49,68"
637,"49,68"
638,154
639,154
640,154
641,"128,158"
642,"128,158"
643,163
644,164
645,"125,159"
646,46
647,154
648,32
649,88
650,"65,171"
651,"65,171"
652,"65,171"
653,"66,170"
654,"66,170"
655,"66,170"
656,"67,168"
657,"67,168"
658,"67,168"
659,"37,53,167"
660,"37,53,167"
661,"145,177"
662,"49,177"
663,"49,177"
664,"14,19,132"
665,"61,132"
666,"14,19,132"
667,"79,127,153"
668,"79,127,153"
669,"166,180"
670,"166,180"
671,"166,180"
672,"157,179"
673,"157,179"
674,"89,104,113"
675,"89,104,113"
676,169
677,"20,51,151"
678,"51,151,158"
679,99
680,99
681,176
682,"131,165"
683,"131,165"
684,"84,175"
685,"84,175"
686,"21,126,151"
687,"21,126,151"
688,"97,124,181"
689,"97,124,181"
690,"38,91,143"
691,"38,91,143"
692,178
693,178
694,"8,87,94"
695,"8,87,94"
696,"5,173"
697,"69,173"
698,"117,174"
699,"117,174"
700,"56,182"
701,"7,84,104"
702,"53,57,167"
703,"5,29"
704,"93,157,183"
705,"93,157,183"
706,"93,157,183"
707,"158,170"
708,"30,119,139"
709,"30,119,139"
710,"15,53,119"
711,"15,53,119"
712,"5,20,115"
713,"5,20,115"
714,"119,140,151"
715,"119,140,151"
716,187
717,186
718,188
719,29
720,170
721,11
722,"65,203"
723,"65,203"
724,"65,203"
725,"22,66"
726,"22,66"
727,"22,66"
728,"67,204"
729,"67,204"
730,"67,204"
731,"51,53,92"
732,"51,53,92"
733,"51,92,125"
734,"91,173,198"
735,"91,173,198"
736,68
737,217
738,26
739,"52,83,89"
740,"52,83,89"
741,216
742,"19,118,175"
743,"19,118,175"
744,"51,72,80"
745,"51,80,146"
746,208
747,"7,144,196"
748,"7,144,196"
749,"20,39,192"
750,"20,39,192"
751,"11,199"
752,"11,199"
753,"102,126"
754,"102,126"
755,"27,35,44"
756,"27,35,44"
757,"12,212"
758,"12,212"
759,"56,103,218"
760,"103,127,218"
761,"12,102,175"
762,"12,102,175"
763,"102,175,214"
764,"30,166,205"
765,"39,140,180"
766,"128,222"
767,193
768,194
769,"8,195"
770,"8,195"
771,"109,215"
772,4
773,225
774,197
775,213
776,75
777,"5,31,160"
778,209
779,"147,173,219"
780,"13,157,201"
781,200
782,"43,142,171"
783,"43,142,171"
784,"43,142,171"
785,"140,226"
786,"140,227"
787,"140,229"
788,"140,228"
789,109
790,5
791,230
792,231
793,224
794,224
795,224
796,224
797,224
798,224
799,224
800,232
801,220
802,101
803,224
804,224
805,224
806,224
807,10
808,42
809,89
810,"65,229"
811,"65,229"
812,"65,229"
813,"66,236"
814,"66,236"
815,"66,236"
816,"67,97"
817,"67,97"
818,"67,97"
819,"82,167"
820,"82,167"
821,"51,127,145"
822,"51,127,145"
823,"46,127,240"
824,"14,68,140"
825,"14,68,140"
826,"68,119,140"
827,"50,84,198"
828,"50,84,198"
829,"27,144,238"
830,"27,144,238"
831,"50,171,218"
832,"80,171,218"
833,"33,75,173"
834,"33,75,173"
835,"155,237"
836,"172,173"
837,"18,85,243"
838,"18,49,243"
839,"18,49,243"
840,"82,171,247"
841,"55,82,247"
842,"47,82,247"
843,"8,61,245"
844,"8,61,245"
845,241
846,"33,239"
847,"33,239"
848,"9,103,155"
849,"57,101,244"
850,"18,49,73"
851,"18,49,73"
852,"7,101"
853,"7,101"
854,"130,133"
855,"130,133"
856,"107,131,156"
857,"107,131,156"
858,"107,131,156"
859,"119,124,158"
860,"119,124,158"
861,"119,124,158"
862,"62,120,128"
863,"4,181,252"
864,"133,253"
865,"80,113"
866,"77,115,251"
867,254
868,"165,175"
869,"165,175"
870,"4,128"
871,"31,226"
872,"19,246"
873,"19,246"
874,249
875,248
876,"28,39,227"
877,258
878,"125,134"
879,"125,134"
880,"10,55,146"
881,"9,10,202"
882,"11,146,173"
883,"11,115,202"
884,"134,135,242"
885,"29,130,151"
886,"29,130,151"
887,"29,130,151"
888,234
889,235
890,46
891,39
892,260
893,102
894,262
895,263
896,264
897,265
898,127
899,"22,119,157"
900,"68,125,292"
901,"62,127,171"
902,"33,91,104"
903,"46,84,143"
904,"22,33,38"
905,"56,126"
906,"65,168"
907,"65,168"
908,"65,168"
909,"66,109"
910,"66,109"
911,"66,109"
912,"67,153"
913,"67,153"
914,"67,153"
915,"47,82,165"
916,"47,82,268"
917,"15,198"
918,"15,198"
919,"68,110"
920,"68,110"
921,"9,30,89"
922,"10,30,89"
923,"10,30,89"
924,"20,50,53"
925,"101,132,167"
926,"20,103"
927,"165,273"
928,"48,139"
929,"48,139"
930,"139,269"
931,"22,55,62"
932,"5,29,272"
933,"5,29,272"
934,"5,29,272"
935,"18,49"
936,"18,133"
937,"18,133"
938,"6,9,20"
939,"6,9,280"
940,"10,172,277"
941,"10,172,277"
942,"22,50,198"
943,"22,198,275"
944,"84,124,158"
945,"84,143,158"
946,"151,274"
947,"151,274"
948,298
949,298
950,"75,144,271"
951,"15,34,103"
952,"15,34,141"
953,"14,61"
954,"28,140"
955,"3,107,119"
956,"3,119,290"
957,"20,104,124"
958,"20,104,124"
959,"20,104,124"
960,"8,155,183"
961,"8,155,183"
962,"51,145,276"
963,41
964,278
965,"112,142"
966,"111,142"
967,"61,144"
968,"8,297"
969,"212,295"
970,"212,295"
971,"53,218"
972,"146,218"
973,"77,113,294"
974,"47,81,125"
975,"47,125,202"
976,"104,292"
977,"12,41,109"
978,"114,279"
979,"39,72,128"
980,"11,38,109"
981,"157,291,296"
982,"32,50,155"
983,"46,128,293"
984,281
985,281
986,281
987,281
988,281
989,281
990,282
991,282
992,282
993,282
994,282
995,282
996,"115,270"
997,"115,270"
998,"115,270"
999,155
1000,283
1001,286
1002,285
1003,284
1004,287
1005,281
1006,282
1007,288
1008,289
1009,281
1010,282
1011,"60,82,300"
1012,"85,301"
1013,"85,301"
1014,"275,302"
1015,"119,302"
1016,"101,302"
1017,128
1018,"5,192,242"
1019,"60,144,300"
1020,281
1021,281
1022,282
1023,282
1024,304
1025,307
10001,46
10002,46
10003,46
10004,"107,142"
10005,"107,142"
10006,32
10007,26
10008,26
10009,26
10010,26
10011,26
10012,26
10013,59
10014,59
10015,59
10016,"69,91,104"
10017,"125,161"
10018,32
10019,144
10020,10
10021,22
10022,164
10023,163
10024,154
10025,"51,151,172"
10026,176
10027,"15,53,119"
10028,"15,53,119"
10029,"15,53,119"
10030,"15,53,119"
10031,"15,53,119"
10032,"15,53,119"
10033,47
10034,181
10035,70
10036,178
10037,36
10038,23
10039,185
10040,184
10041,104
10042,181
10043,80
10044,15
10045,104
10046,101
10047,92
10048,94
10049,45
10050,3
10051,182
10052,37
10053,111
10054,74
10055,22
10056,158
10057,156
10058,159
10059,91
10060,117
10061,"166,180"
10062,26
10063,26
10064,33
10065,31
10066,156
10067,182
10068,39
10069,131
10070,173
10071,75
10072,159
10073,99
10074,174
10075,156
10076,181
10077,189
10078,190
10079,191
10080,"9,31"
10081,"9,31"
10082,"9,31"
10083,"9,31"
10084,"9,31"
10085,"9,31"
10086,170
10087,125
10088,113
10089,184
10090,91
10091,"47,55,82"
10092,"47,55,82"
10093,"47,55,82"
10094,"9,31"
10095,"9,31"
10096,"9,31"
10097,"9,31"
10098,"9,31"
10099,"9,31"
10100,207
10101,"81,202"
10102,"81,202"
10103,"81,117"
10104,"81,117"
10105,"8,159,221"
10106,"8,159,221"
10107,"53,101,155"
10108,"101,155,169"
10109,"5,42,206"
10110,"5,42,206"
10111,"5,42,206"
10112,"82,143,223"
10113,"82,143,223"
10114,"119,139"
10115,"31,69,130"
10116,210
10117,210
10118,211
10119,211
10120,211
10121,"91,173,198"
10122,26
10123,216
10124,216
10125,216
10126,"51,72,99"
10127,208
10128,"102,126"
10129,"12,212"
10130,197
10131,197
10132,197
10133,197
10134,197
10135,197
10136,197
10137,197
10138,197
10139,197
10140,197
10141,197
10142,197
10143,209
10144,209
10145,209
10146,"43,142,171"
10147,220
10148,"9,31"
10149,"31,69,130"
10150,"19,118,175"
10151,20
10152,181
10153,"11,199"
10154,"5,31,160"
10155,232
10156,232
10157,233
10158,"9,31"
10159,"50,91,107"
10160,"9,31"
10161,"53,127,181"
10162,"50,107,257"
10163,"50,107,257"
10164,"20,82,144"
10165,"20,144,259"
10166,"80,113"
10167,"26,228,256"
10168,"72,115,251"
10169,172
10170,128
10171,201
10172,"20,144,261"
10173,"130,133"
10174,"53,82,95"
10175,"53,82,95"
10176,"39,55"
10177,"161,255"
10178,"161,255"
10179,254
10180,250
10181,188
10182,241
10183,241
10184,"58,101,244"
10185,248
10186,"20,28,227"
10187,258
10188,234
10189,235
10190,46
10191,260
10192,102
10193,266
10194,267
10195,"34,65"
10196,"66,94"
10197,"44,67"
10198,"14,110"
10199,"9,31"
10200,"53,101,127"
10201,"62,80,99"
10202,130
10203,"52,75,125"
10204,"11,75,93"
10205,"50,91,107"
10206,"17,47,82"
10207,"1,106,133"
10208,89
10209,"65,229"
10210,"66,236"
10211,"67,97"
10212,"46,127,240"
10213,"68,119,140"
10214,"33,75,173"
10215,"18,49,243"
10216,"55,82,247"
10217,"47,82,247"
10218,"8,61,245"
10219,"57,101,244"
10220,"18,49,73"
10221,"107,131,156"
10222,"119,124,158"
10223,"165,175"
10224,"125,134"
10225,"134,135,242"
10226,260
10227,260
10228,"58,101,244"
10229,"18,22,69"
10230,"18,22,69"
10231,"9,43,106"
10232,"9,43,106"
10233,"66,119"
10234,"22,33,38"
10235,"39,51,124"
10236,"67,292"
10237,"34,55,102"
10238,149
10239,149
10240,"51,110,125"
10241,"75,157,183"
10242,"75,157,183"
10243,"5,115,173"
10244,"65,113"
10245,"46,140"
10246,"46,140"
10247,"91,104,155"
10248,"33,91,104"
10249,142
10250,"22,83,291"
10251,"22,83,291"
10252,"22,83,291"
10253,"11,38,109"
10254,"47,82,165"
10255,"32,50,155"
10256,278
10257,"101,132,167"
10258,"114,279"
10259,"114,279"
10260,"22,55,62"
10261,"22,55,125"
10262,"22,55,125"
10263,50
10264,288
10265,288
10266,288
10267,288
10268,289
10269,289
10270,289
10271,289
10272,299
10273,11
10274,104
10275,5
10276,305
10277,306
