id,name,name_ja,category,category_ja
192,macho-brace,きょうせいギプス,effort-training,
193,exp-share,がくしゅうそうち,training,
194,quick-claw,せんせいのツメ,held-items,
195,soothe-bell,やすらぎのすず,training,
196,mental-herb,メンタルハーブ,held-items,
197,choice-band,こだわりハチマキ,choice,
198,kings-rock,おうじゃのしるし,held-items,
199,silver-powder,ぎんのこな,type-enhancement,
200,amulet-coin,おまもりこばん,training,
201,cleanse-tag,きよめのおふだ,training,
202,soul-dew,こころのしずく,species-specific,
203,deep-sea-tooth,しんかいのキバ,species-specific,
204,deep-sea-scale,しんかいのウロコ,species-specific,
205,smoke-ball,けむりだま,held-items,
206,everstone,かわらずのいし,training,
207,focus-band,きあいのハチマキ,held-items,
208,lucky-egg,しあわせタマゴ,training,
209,scope-lens,ピントレンズ,held-items,
210,metal-coat,メタルコート,type-enhancement,
211,leftovers,たべのこし,held-items,
212,dragon-scale,りゅうのウロコ,evolution,
213,light-ball,でんきだま,species-specific,
214,soft-sand,やわらかいすな,type-enhancement,
215,hard-stone,かたいいし,type-enhancement,
216,miracle-seed,きせきのタネ,type-enhancement,
217,black-glasses,くろいメガネ,type-enhancement,
218,black-belt,くろおび,type-enhancement,
219,magnet,じしゃく,type-enhancement,
220,mystic-water,しんぴのしずく,type-enhancement,
221,sharp-beak,するどいくちばし,type-enhancement,
222,poison-barb,どくバリ,type-enhancement,
223,never-melt-ice,とけないこおり,type-enhancement,
224,spell-tag,のろいのおふだ,type-enhancement,
225,twisted-spoon,まがったスプーン,type-enhancement,
226,charcoal,もくたん,type-enhancement,
227,dragon-fang,りゅうのキバ,type-enhancement,
228,silk-scarf,シルクのスカーフ,type-enhancement,
229,up-grade,アップグレード,evolution,
230,shell-bell,かいがらのすず,held-items,
231,sea-incense,うしおのおこう,type-enhancement,
232,lax-incense,のんきのおこう,held-items,
233,lucky-punch,ラッキーパンチ,species-specific,
234,metal-powder,メタルパウダー,species-specific,
235,thick-club,ふといホネ,species-specific,
236,stick,ながねぎ,species-specific,
237,red-scarf,あかいバンダナ,scarves,
238,blue-scarf,あおいバンダナ,scarves,
239,pink-scarf,ピンクのバンダナ,scarves,
240,green-scarf,みどりのバンダナ,scarves,
241,yellow-scarf,きいろのバンダナ,scarves,
242,wide-lens,こうかくレンズ,held-items,
243,muscle-band,ちからのハチマキ,held-items,
244,wise-glasses,ものしりメガネ,held-items,
245,expert-belt,たつじんのおび,held-items,
246,light-clay,ひかりのねんど,held-items,
247,life-orb,いのちのたま,held-items,
248,power-herb,パワフルハーブ,held-items,
249,toxic-orb,どくどくだま,bad-held-items,
250,flame-orb,かえんだま,bad-held-items,
251,quick-powder,スピードパウダー,species-specific,
252,focus-sash,きあいのタスキ,held-items,
253,zoom-lens,フォーカスレンズ,held-items,
254,metronome,メトロノーム,held-items,
255,iron-ball,くろいてっきゅう,bad-held-items,
256,lagging-tail,こうこうのしっぽ,bad-held-items,
257,destiny-knot,あかいいと,held-items,
258,black-sludge,くろいヘドロ,held-items,
259,icy-rock,つめたいいわ,held-items,
260,smooth-rock,さらさらいわ,held-items,
261,heat-rock,あついいわ,held-items,
262,damp-rock,しめったいわ,held-items,
263,grip-claw,ねばりのかぎづめ,held-items,
264,choice-scarf,こだわりスカーフ,choice,
265,sticky-barb,くっつきバリ,bad-held-items,
266,power-bracer,パワーリスト,effort-training,
267,power-belt,パワーベルト,effort-training,
268,power-lens,パワーレンズ,effort-training,
269,power-band,パワーバンド,effort-training,
270,power-anklet,パワーアンクル,effort-training,
271,power-weight,パワーウエイト,effort-training,
272,shed-shell,きれいなぬけがら,held-items,
273,big-root,おおきなねっこ,held-items,
274,choice-specs,こだわりメガネ,choice,
275,flame-plate,ひのたまプレート,plates,
276,splash-plate,しずくプレート,plates,
277,zap-plate,いかずちプレート,plates,
278,meadow-plate,みどりのプレート,plates,
279,icicle-plate,つららのプレート,plates,
280,fist-plate,こぶしのプレート,plates,
281,toxic-plate,もうどくプレート,plates,
282,earth-plate,だいちのプレート,plates,
283,sky-plate,あおぞらプレート,plates,
284,mind-plate,ふしぎのプレート,plates,
285,insect-plate,たまむしプレート,plates,
286,stone-plate,がんせきプレート,plates,
287,spooky-plate,もののけプレート,plates,
288,draco-plate,りゅうのプレート,plates,
289,dread-plate,こわもてプレート,plates,
290,iron-plate,こうてつプレート,plates,
291,odd-incense,あやしいおこう,type-enhancement,
292,rock-incense,がんせきおこう,type-enhancement,
293,full-incense,まんぷくおこう,bad-held-items,
294,wave-incense,さざなみのおこう,type-enhancement,
295,rose-incense,おはなのおこう,type-enhancement,
296,luck-incense,こううんのおこう,training,
297,pure-incense,きよめのおこう,training,
298,protector,プロテクター,evolution,
299,electirizer,エレキブースター,evolution,
300,magmarizer,マグマブースター,evolution,
301,dubious-disc,あやしいパッチ,evolution,
302,reaper-cloth,れいかいのぬの,evolution,
303,razor-claw,するどいツメ,held-items,
304,razor-fang,するどいキバ,held-items,
305,tm01,わざマシン０１,all-machines,
306,tm02,わざマシン０２,all-machines,
307,tm03,わざマシン０３,all-machines,
308,tm04,わざマシン０４,all-machines,
309,tm05,わざマシン０５,all-machines,
310,tm06,わざマシン０６,all-machines,
311,tm07,わざマシン０７,all-machines,
312,tm08,わざマシン０８,all-machines,
313,tm09,わざマシン０９,all-machines,
314,tm10,わざマシン１０,all-machines,
315,tm11,わざマシン１１,all-machines,
316,tm12,わざマシン１２,all-machines,
317,tm13,わざマシン１３,all-machines,
318,tm14,わざマシン１４,all-machines,
319,tm15,わざマシン１５,all-machines,
320,tm16,わざマシン１６,all-machines,
321,tm17,わざマシン１７,all-machines,
322,tm18,わざマシン１８,all-machines,
323,tm19,わざマシン１９,all-machines,
324,tm20,わざマシン２０,all-machines,
325,tm21,わざマシン２１,all-machines,
326,tm22,わざマシン２２,all-machines,
327,tm23,わざマシン２３,all-machines,
328,tm24,わざマシン２４,all-machines,
329,tm25,わざマシン２５,all-machines,
330,tm26,わざマシン２６,all-machines,
331,tm27,わざマシン２７,all-machines,
332,tm28,わざマシン２８,all-machines,
333,tm29,わざマシン２９,all-machines,
334,tm30,わざマシン３０,all-machines,
335,tm31,わざマシン３１,all-machines,
336,tm32,わざマシン３２,all-machines,
337,tm33,わざマシン３３,all-machines,
338,tm34,わざマシン３４,all-machines,
339,tm35,わざマシン３５,all-machines,
340,tm36,わざマシン３６,all-machines,
341,tm37,わざマシン３７,all-machines,
342,tm38,わざマシン３８,all-machines,
343,tm39,わざマシン３９,all-machines,
344,tm40,わざマシン４０,all-machines,
345,tm41,わざマシン４１,all-machines,
346,tm42,わざマシン４２,all-machines,
347,tm43,わざマシン４３,all-machines,
348,tm44,わざマシン４４,all-machines,
349,tm45,わざマシン４５,all-machines,
350,tm46,わざマシン４６,all-machines,
351,tm47,わざマシン４７,all-machines,
352,tm48,わざマシン４８,all-machines,
353,tm49,わざマシン４９,all-machines,
354,tm50,わざマシン５０,all-machines,
355,tm51,わざマシン５１,all-machines,
356,tm52,わざマシン５２,all-machines,
357,tm53,わざマシン５３,all-machines,
358,tm54,わざマシン５４,all-machines,
359,tm55,わざマシン５５,all-machines,
360,tm56,わざマシン５６,all-machines,
361,tm57,わざマシン５７,all-machines,
362,tm58,わざマシン５８,all-machines,
363,tm59,わざマシン５９,all-machines,
364,tm60,わざマシン６０,all-machines,
365,tm61,わざマシン６１,all-machines,
366,tm62,わざマシン６２,all-machines,
367,tm63,わざマシン６３,all-machines,
368,tm64,わざマシン６４,all-machines,
369,tm65,わざマシン６５,all-machines,
370,tm66,わざマシン６６,all-machines,
371,tm67,わざマシン６７,all-machines,
372,tm68,わざマシン６８,all-machines,
373,tm69,わざマシン６９,all-machines,
374,tm70,わざマシン７０,all-machines,
375,tm71,わざマシン７１,all-machines,
376,tm72,わざマシン７２,all-machines,
377,tm73,わざマシン７３,all-machines,
378,tm74,わざマシン７４,all-machines,
379,tm75,わざマシン７５,all-machines,
380,tm76,わざマシン７６,all-machines,
381,tm77,わざマシン７７,all-machines,
382,tm78,わざマシン７８,all-machines,
383,tm79,わざマシン７９,all-machines,
384,tm80,わざマシン８０,all-machines,
385,tm81,わざマシン８１,all-machines,
386,tm82,わざマシン８２,all-machines,
387,tm83,わざマシン８３,all-machines,
388,tm84,わざマシン８４,all-machines,
389,tm85,わざマシン８５,all-machines,
390,tm86,わざマシン８６,all-machines,
391,tm87,わざマシン８７,all-machines,
392,tm88,わざマシン８８,all-machines,
393,tm89,わざマシン８９,all-machines,
394,tm90,わざマシン９０,all-machines,
395,tm91,わざマシン９１,all-machines,
396,tm92,わざマシン９２,all-machines,
397,hm01,ひでんマシン０１,all-machines,
398,hm02,ひでんマシン０２,all-machines,
399,hm03,ひでんマシン０３,all-machines,
400,hm04,ひでんマシン０４,all-machines,
401,hm05,ひでんマシン０５,all-machines,
402,hm06,ひでんマシン０６,all-machines,
403,hm07,ひでんマシン０７,all-machines,
404,hm08,ひでんマシン０８,all-machines,
405,explorer-kit,たんけんセット,gameplay,
406,loot-sack,たからぶくろ,unused,
407,rule-book,ルールブック,unused,
408,poke-radar,ポケトレ,gameplay,
409,point-card,ポイントカード,gameplay,
410,journal,ぼうけんノート,gameplay,
411,seal-case,シールいれ,gameplay,
412,fashion-case,アクセサリーいれ,gameplay,
413,seal-bag,シールぶくろ,unused,
414,pal-pad,ともだちてちょう,gameplay,
415,works-key,はつでんしょキー,plot-advancement,
416,old-charm,こだいのおまもり,plot-advancement,
417,galactic-key,ギンガだんのカギ,plot-advancement,
418,red-chain,あかいくさり,unused,
419,town-map,タウンマップ,gameplay,
420,vs-seeker,バトルサーチャー,gameplay,
421,coin-case,コインケース,gameplay,
422,old-rod,ボロのつりざお,gameplay,
423,good-rod,いいつりざお,gameplay,
424,super-rod,すごいつりざお,gameplay,
425,sprayduck,コダックじょうろ,gameplay,
426,poffin-case,ポフィンケース,gameplay,
427,bicycle,じてんしゃ,gameplay,
428,suite-key,ルームキー,event-items,
429,oaks-letter,オーキドのてがみ,event-items,
430,lunar-wing,みかづきのはね,event-items,
431,member-card,メンバーズカード,event-items,
432,azure-flute,てんかいのふえ,event-items,
433,ss-ticket,ふねのチケット,plot-advancement,
434,contest-pass,コンテストパス,gameplay,
435,magma-stone,かざんのおきいし,plot-advancement,
436,parcel,おとどけもの,plot-advancement,
437,coupon-1,ひきかえけん１,plot-advancement,
438,coupon-2,ひきかえけん２,plot-advancement,
439,coupon-3,ひきかえけん３,plot-advancement,
440,storage-key,そうこのカギ,plot-advancement,
441,secret-potion,ひでんのくすり,plot-advancement,
442,griseous-orb,はっきんだま,species-specific,
443,vs-recorder,バトルレコーダー,gameplay,
444,gracidea,グラシデアのはな,event-items,
445,secret-key,ひみつのカギ,event-items,
446,apricorn-box,ぼんぐりケース,gameplay,
447,berry-pots,きのみプランター,gameplay,
448,squirt-bottle,ゼニガメじょうろ,plot-advancement,
449,lure-ball,ルアーボール,apricorn-balls,
450,level-ball,レベルボール,apricorn-balls,
451,moon-ball,ムーンボール,apricorn-balls,
452,heavy-ball,ヘビーボール,apricorn-balls,
453,fast-ball,スピードボール,apricorn-balls,
454,friend-ball,フレンドボール,apricorn-balls,
455,love-ball,ラブラブボール,apricorn-balls,
456,park-ball,パークボール,standard-balls,
457,sport-ball,コンペボール,standard-balls,
458,red-apricorn,あかぼんぐり,apricorn-box,
459,blue-apricorn,あおぼんぐり,apricorn-box,
460,yellow-apricorn,きぼんぐり,apricorn-box,
461,green-apricorn,みどぼんぐり,apricorn-box,
462,pink-apricorn,ももぼんぐり,apricorn-box,
463,white-apricorn,しろぼんぐり,apricorn-box,
464,black-apricorn,くろぼんぐり,apricorn-box,
465,dowsing-machine,ダウジングマシン,gameplay,
466,rage-candy-bar,いかりまんじゅう,gameplay,
467,red-orb,べにいろのたま,plot-advancement,
468,blue-orb,あいいろのたま,plot-advancement,
469,jade-orb,もえぎいろのたま,plot-advancement,
470,enigma-stone,なぞのすいしょう,event-items,
471,unown-report,アンノーンノート,gameplay,
472,blue-card,ブルーカード,gameplay,
473,slowpoke-tail,おいしいシッポ,unused,
474,clear-bell,とうめいなスズ,plot-advancement,
475,card-key,カードキー,plot-advancement,
476,basement-key,ちかのかぎ,plot-advancement,
477,red-scale,あかいウロコ,plot-advancement,
478,lost-item,おとしもの,plot-advancement,
479,pass,リニアパス,plot-advancement,
480,machine-part,きかいのぶひん,plot-advancement,
481,silver-wing,ぎんいろのはね,plot-advancement,
482,rainbow-wing,にじいろのはね,plot-advancement,
483,mystery-egg,ふしぎなタマゴ,plot-advancement,
484,gb-sounds,ＧＢプレイヤー,gameplay,
485,tidal-bell,うみなりのスズ,plot-advancement,
486,data-card-01,データカード０１,data-cards,
487,data-card-02,データカード０２,data-cards,
488,data-card-03,データカード０３,data-cards,
489,data-card-04,データカード０４,data-cards,
490,data-card-05,データカード０５,data-cards,
491,data-card-06,データカード０６,data-cards,
492,data-card-07,データカード０７,data-cards,
493,data-card-08,データカード０８,data-cards,
494,data-card-09,データカード０９,data-cards,
495,data-card-10,データカード１０,data-cards,
496,data-card-11,データカード１１,data-cards,
497,data-card-12,データカード１２,data-cards,
498,data-card-13,データカード１３,data-cards,
499,data-card-14,データカード１４,data-cards,
500,data-card-15,データカード１５,data-cards,
501,data-card-16,データカード１６,data-cards,
502,data-card-17,データカード１７,data-cards,
503,data-card-18,データカード１８,data-cards,
504,data-card-19,データカード１９,data-cards,
505,data-card-20,データカード２０,data-cards,
506,data-card-21,データカード２１,data-cards,
507,data-card-22,データカード２２,data-cards,
508,data-card-23,データカード２３,data-cards,
509,data-card-24,データカード２４,data-cards,
510,data-card-25,データカード２５,data-cards,
511,data-card-26,データカード２６,data-cards,
512,data-card-27,データカード２７,data-cards,
513,lock-capsule,ロックカプセル,unused,
514,photo-album,フォトアルバム,unused,
515,orange-mail,オレンジメール,all-mail,
516,harbor-mail,ハーバーメール,all-mail,
517,glitter-mail,キラキラメール,all-mail,
518,mech-mail,メカニカルメール,all-mail,
519,wood-mail,ウッディメール,all-mail,
520,wave-mail,クロスメール,all-mail,
521,bead-mail,トレジャーメール,all-mail,
522,shadow-mail,シャドーメール,all-mail,
523,tropic-mail,トロピカルメール,all-mail,
524,dream-mail,ドリームメール,all-mail,
525,fab-mail,ミラクルメール,all-mail,
526,retro-mail,レトロメール,all-mail,
527,mach-bike,マッハじてんしゃ,gameplay,
528,acro-bike,ダートじてんしゃ,gameplay,
529,wailmer-pail,ホエルコじょうろ,gameplay,
530,devon-goods,デボンのにもつ,plot-advancement,
531,soot-sack,はいぶくろ,gameplay,
532,pokeblock-case,ポロックケース,gameplay,
533,letter,ダイゴへのてがみ,plot-advancement,
534,eon-ticket,むげんのチケット,event-items,
535,scanner,たんちき,plot-advancement,
536,go-goggles,ゴーゴーゴーグル,gameplay,
537,meteorite,いんせき,plot-advancement,
538,rm-1-key,１ごうしつのカギ,plot-advancement,
539,rm-2-key,２ごうしつのカギ,plot-advancement,
540,rm-4-key,４ごうしつのカギ,plot-advancement,
541,rm-6-key,６ごうしつのカギ,plot-advancement,
542,devon-scope,デボンスコープ,gameplay,
543,oaks-parcel,おとどけもの,plot-advancement,
544,poke-flute,ポケモンのふえ,plot-advancement,
545,bike-voucher,ひきかえけん,plot-advancement,
546,gold-teeth,きんのいれば,plot-advancement,
547,lift-key,エレベータのカギ,plot-advancement,
548,silph-scope,シルフスコープ,plot-advancement,
549,fame-checker,ボイスチェッカー,gameplay,
550,tm-case,わざマシンケース,gameplay,
551,berry-pouch,きのみぶくろ,gameplay,
552,teachy-tv,おしえテレビ,gameplay,
553,tri-pass,トライパス,plot-advancement,
554,rainbow-pass,レインボーパス,plot-advancement,
555,tea,おちゃ,plot-advancement,
556,mysticticket,しんぴのチケット,event-items,
557,auroraticket,オーロラチケット,event-items,
558,powder-jar,こないれ,gameplay,
559,ruby,ルビー,plot-advancement,
560,sapphire,サファイア,plot-advancement,
561,magma-emblem,マグマのしるし,plot-advancement,
562,old-sea-map,ふるびたかいず,event-items,
563,douse-drive,アクアカセット,species-specific,
564,shock-drive,イナズマカセット,species-specific,
565,burn-drive,ブレイズカセット,species-specific,
566,chill-drive,フリーズカセット,species-specific,
567,sweet-heart,ハートスイーツ,healing,
568,greet-mail,はじめてメール,all-mail,
569,favored-mail,だいすきメール,all-mail,
570,rsvp-mail,おさそいメール,all-mail,
571,thanks-mail,かんしゃメール,all-mail,
572,inquiry-mail,しつもんメール,all-mail,
573,like-mail,おすすめメール,all-mail,
574,reply-mail,おかえしメール,all-mail,
575,bridge-mail-s,ブリッジメールＳ,all-mail,
576,bridge-mail-d,ブリッジメールＨ,all-mail,
577,bridge-mail-t,ブリッジメールＣ,all-mail,
578,bridge-mail-v,ブリッジメールＶ,all-mail,
579,bridge-mail-m,ブリッジメールＷ,all-mail,
580,prism-scale,きれいなウロコ,evolution,
581,eviolite,しんかのきせき,held-items,
582,float-stone,かるいし,held-items,
583,rocky-helmet,ゴツゴツメット,held-items,
584,air-balloon,ふうせん,held-items,
585,red-card,レッドカード,held-items,
586,ring-target,ねらいのまと,held-items,
587,binding-band,しめつけバンド,held-items,
588,absorb-bulb,きゅうこん,held-items,
589,cell-battery,じゅうでんち,held-items,
590,eject-button,だっしゅつボタン,held-items,
591,fire-gem,ほのおのジュエル,jewels,
592,water-gem,みずのジュエル,jewels,
593,electric-gem,でんきのジュエル,jewels,
594,grass-gem,くさのジュエル,jewels,
595,ice-gem,こおりのジュエル,jewels,
596,fighting-gem,かくとうジュエル,jewels,
597,poison-gem,どくのジュエル,jewels,
598,ground-gem,じめんのジュエル,jewels,
599,flying-gem,ひこうのジュエル,jewels,
600,psychic-gem,エスパージュエル,jewels,
601,bug-gem,むしのジュエル,jewels,
602,rock-gem,いわのジュエル,jewels,
603,ghost-gem,ゴーストジュエル,jewels,
604,dark-gem,あくのジュエル,jewels,
605,steel-gem,はがねのジュエル,jewels,
606,health-wing,たいりょくのハネ,vitamins,
607,muscle-wing,きんりょくのハネ,vitamins,
608,resist-wing,ていこうのハネ,vitamins,
609,genius-wing,ちりょくのハネ,vitamins,
610,clever-wing,せいしんのハネ,vitamins,
611,swift-wing,しゅんぱつのハネ,vitamins,
612,pretty-wing,きれいなハネ,loot,
613,cover-fossil,ふたのカセキ,dex-completion,
614,plume-fossil,はねのカセキ,dex-completion,
615,liberty-pass,リバティチケット,event-items,
616,pass-orb,デルダマ,held-items,
617,dream-ball,ドリームボール,special-balls,
618,poke-toy,ポケじゃらし,spelunking,
619,prop-case,グッズケース,gameplay,
620,dragon-skull,ドラゴンのホネ,plot-advancement,
621,balm-mushroom,かおるキノコ,loot,
622,big-nugget,でかいきんのたま,loot,
623,pearl-string,おだんごしんじゅ,loot,
624,comet-shard,すいせいのかけら,loot,
625,relic-copper,こだいのどうか,loot,
626,relic-silver,こだいのぎんか,loot,
627,relic-gold,こだいのきんか,loot,
628,relic-vase,こだいのツボ,loot,
629,relic-band,こだいのうでわ,loot,
630,relic-statue,こだいのせきぞう,loot,
631,relic-crown,こだいのおうかん,loot,
632,casteliacone,ヒウンアイス,status-cures,
633,dire-hit-2,クリティカット２,miracle-shooter,
634,x-speed-2,スピーダー２,miracle-shooter,
635,x-sp-atk-2,ＳＰアップ２,miracle-shooter,
636,x-sp-def-2,ＳＰガード２,miracle-shooter,
637,x-defense-2,ディフェンダー２,miracle-shooter,
638,x-attack-2,プラスパワー２,miracle-shooter,
639,x-accuracy-2,ヨクアタール２,miracle-shooter,
640,x-speed-3,スピーダー３,miracle-shooter,
