id,base_id,name,name_ja_form
10037,65,alakazam-mega,フーディン（メガシンカ）
10038,94,gengar-mega,ゲンガー（メガシンカ）
10039,115,kangaskhan-mega,ガルーラ（メガシンカ）
10040,127,pinsir-mega,カイロス（メガシンカ）
10041,130,gyarados-mega,ギャラドス（メガシンカ）
10042,142,aerodactyl-mega,プテラ（メガシンカ）
10043,150,mewtwo-mega-x,ミュウツー（メガX）
10044,150,mewtwo-mega-y,ミュウツー（メガY）
10045,181,ampharos-mega,デンリュウ（メガシンカ）
10046,212,scizor-mega,ハッサム（メガシンカ）
10047,214,heracross-mega,ヘラクロス（メガシンカ）
10048,229,houndoom-mega,ヘルガー（メガシンカ）
10049,248,tyranitar-mega,バンギラス（メガシンカ）
10050,257,blaziken-mega,バシャーモ（メガシンカ）
10051,282,gardevoir-mega,サーナイト（メガシンカ）
10052,303,mawile-mega,クチート（メガシンカ）
10053,306,aggron-mega,ボスゴドラ（メガシンカ）
10054,308,medicham-mega,チャーレム（メガシンカ）
10055,310,manectric-mega,ライボルト（メガシンカ）
10056,354,banette-mega,ジュペッタ（メガシンカ）
10057,359,absol-mega,アブソル（メガシンカ）
10058,445,garchomp-mega,ガブリアス（メガシンカ）
10059,448,lucario-mega,ルカリオ（メガシンカ）
10060,460,abomasnow-mega,ユキノオー（メガシンカ）
10061,670,floette-eternal,フラエッテ（えいえんのすがた）
10062,380,latias-mega,ラティアス（メガシンカ）
10063,381,latios-mega,ラティオス（メガシンカ）
10064,260,swampert-mega,ラグラージ（メガシンカ）
10065,254,sceptile-mega,ジュカイン（メガシンカ）
10066,302,sableye-mega,ヤミラミ（メガシンカ）
10067,334,altaria-mega,チルタリス（メガシンカ）
10068,475,gallade-mega,エルレイド（メガシンカ）
10069,531,audino-mega,タブンネ（メガシンカ）
10070,319,sharpedo-mega,サメハダー（メガシンカ）
10071,80,slowbro-mega,ヤドラン（メガシンカ）
10072,208,steelix-mega,ハガネール（メガシンカ）
10073,18,pidgeot-mega,ピジョット（メガシンカ）
10074,362,glalie-mega,オニゴーリ（メガシンカ）
10075,719,diancie-mega,ディアンシー（メガシンカ）
10076,376,metagross-mega,メタグロス（メガシンカ）
10077,382,kyogre-primal,カイオーガ（ゲンシカイキ）
10078,383,groudon-primal,グラードン（ゲンシカイキ）
10079,384,rayquaza-mega,レックウザ（メガシンカ）
10080,25,pikachu-rock-star,ピカチュウ（ロックスターのすがた）
10081,25,pikachu-belle,ピカチュウ（アイドルのすがた）
10082,25,pikachu-pop-star,ピカチュウ（ポップスターのすがた）
10083,25,pikachu-phd,ピカチュウ（ドクターのすがた）
10084,25,pikachu-libre,ピカチュウ（マダムのすがた）
10085,25,pikachu-cosplay,ピカチュウ（コスプレのすがた）
10086,720,hoopa-unbound,フーパ（たがを外したすがた）
10087,323,camerupt-mega,バクーダ（メガシンカ）
10088,428,lopunny-mega,ミミロップ（メガシンカ）
10089,373,salamence-mega,ボーマンダ（メガシンカ）
10090,15,beedrill-mega,スピアー（メガシンカ）
10091,19,rattata-alola,コラッタ（アローラのすがた）
10092,20,raticate-alola,ラッタ（アローラのすがた）
10093,20,raticate-totem-alola,ラッタ（アローラのすがた／ぬし）
10094,25,pikachu-original-cap,ピカチュウ（オリジナルキャップ）
10095,25,pikachu-hoenn-cap,ピカチュウ（ホウエンキャップ）
10096,25,pikachu-sinnoh-cap,ピカチュウ（シンオウキャップ）
10097,25,pikachu-unova-cap,ピカチュウ（イッシュキャップ）
10098,25,pikachu-kalos-cap,ピカチュウ（カロスキャップ）
10099,25,pikachu-alola-cap,ピカチュウ（アローラキャップ）
10100,26,raichu-alola,ライチュウ（アローラのすがた）
10101,27,sandshrew-alola,サンド（アローラのすがた）
10102,28,sandslash-alola,サンドパン（アローラのすがた）
10103,37,vulpix-alola,ロコン（アローラのすがた）
10104,38,ninetales-alola,キュウコン（アローラのすがた）
10105,50,diglett-alola,ディグダ（アローラのすがた）
10106,51,dugtrio-alola,ダグトリオ（アローラのすがた）
10107,52,meowth-alola,ニャース（アローラのすがた）
10108,53,persian-alola,ペルシアン（アローラのすがた）
10109,74,geodude-alola,イシツブテ（アローラのすがた）
10110,75,graveler-alola,ゴローン（アローラのすがた）
10111,76,golem-alola,ゴローニャ（アローラのすがた）
10112,88,grimer-alola,ベトベター（アローラのすがた）
10113,89,muk-alola,ベトベトン（アローラのすがた）
10114,103,exeggutor-alola,ナッシー（アローラのすがた）
10115,105,marowak-alola,ガラガラ（アローラのすがた）
10116,658,greninja-battle-bond,ゲッコウガ（きずなへんげ）
10117,658,greninja-ash,ゲッコウガ（サトシゲッコウガ）
10118,718,zygarde-10-power-construct,ジガルデ（10%フォルム／スワームチェンジ）
10119,718,zygarde-50-power-construct,ジガルデ（50%フォルム／スワームチェンジ）
10120,718,zygarde-complete,ジガルデ（パーフェクトフォルム）
10121,735,gumshoos-totem,デカグース（ぬしのすがた）
10122,738,vikavolt-totem,クワガノン（ぬしのすがた）
10123,741,oricorio-pom-pom,オドリドリ（ぱちぱちスタイル）
10124,741,oricorio-pau,オドリドリ（ふらふらスタイル）
10125,741,oricorio-sensu,オドリドリ（まいまいスタイル）
10126,745,lycanroc-midnight,ルガルガン（まよなかのすがた）
10127,746,wishiwashi-school,ヨワシ（ぎょぐんのすがた）
10128,754,lurantis-totem,ラランテス（ぬしのすがた）
10129,758,salazzle-totem,エンニュート（ぬしのすがた）
10130,774,minior-orange-meteor,メテノ（いしあたま）
10131,774,minior-yellow-meteor,メテノ（いしあたま）
10132,774,minior-green-meteor,メテノ（いしあたま）
10133,774,minior-blue-meteor,メテノ（いしあたま）
10134,774,minior-indigo-meteor,メテノ（いしあたま）
10135,774,minior-violet-meteor,メテノ（いしあたま）
10136,774,minior-red,メテノ（あかいろのコア）
10137,774,minior-orange,メテノ（だいだいのコア）
10138,774,minior-yellow,メテノ（きいろのコア）
10139,774,minior-green,メテノ（みどりのコア）
10140,774,minior-blue,メテノ（あおのコア）
10141,774,minior-indigo,メテノ（あいいろのコア）
10142,774,minior-violet,メテノ（むらさきのコア）
10143,778,mimikyu-busted,ミミッキュ（ばれたすがた）
10144,778,mimikyu-totem-disguised,ミミッキュ（ぬしのすがた／ばけのかわ）
10145,778,mimikyu-totem-busted,ミミッキュ（ぬしのすがた／ばれたすがた）
10146,784,kommo-o-totem,ジャラランガ（ぬしのすがた）
10147,801,magearna-original,マギアナ（500年前の姿）
10148,25,pikachu-partner-cap,ピカチュウ（キミにきめたキャップ）
10149,105,marowak-totem,ガラガラ（ぬしのすがた）
10150,743,ribombee-totem,アブリボン（ぬしのすがた）
10151,744,rockruff-own-tempo,イワンコ（マイペース）
10152,745,lycanroc-dusk,ルガルガン（たそがれのすがた）
10153,752,araquanid-totem,オニシズクモ（ぬしのすがた）
10154,777,togedemaru-totem,トゲデマル（ぬしのすがた）
10155,800,necrozma-dusk,ネクロズマ（たそがれのたてがみ）
10156,800,necrozma-dawn,ネクロズマ（あかつきのつばさ）
10157,800,necrozma-ultra,ネクロズマ（ウルトラネクロズマ）
10158,25,pikachu-starter,ピカチュウ（相棒のすがた）
10159,133,eevee-starter,イーブイ（相棒のすがた）
10160,25,pikachu-world-cap,ピカチュウ（ワールドキャップ）
10161,52,meowth-galar,ニャース（ガラルのすがた）
10162,77,ponyta-galar,ポニータ（ガラルのすがた）
10163,78,rapidash-galar,ギャロップ（ガラルのすがた）
10164,79,slowpoke-galar,ヤドン（ガラルのすがた）
10165,80,slowbro-galar,ヤドラン（ガラルのすがた）
10166,83,farfetchd-galar,カモネギ（ガラルのすがた）
10167,110,weezing-galar,マタドガス（ガラルのすがた）
10168,122,mr-mime-galar,バリヤード（ガラルのすがた）
10169,144,articuno-galar,フリーザー（ガラルのすがた）
10170,145,zapdos-galar,サンダー（ガラルのすがた）
10171,146,moltres-galar,ファイヤー（ガラルのすがた）
10172,199,slowking-galar,ヤドキング（ガラルのすがた）
10173,222,corsola-galar,サニーゴ（ガラルのすがた）
10174,263,zigzagoon-galar,ジグザグマ（ガラルのすがた）
10175,264,linoone-galar,マッスグマ（ガラルのすがた）
10176,554,darumaka-galar,ダルマッカ（ガラルのすがた）
10177,555,darmanitan-galar-standard,ヒヒダルマ（ガラルのすがた／ノーマルモード）
10178,555,darmanitan-galar-zen,ヒヒダルマ（ガラルのすがた／ダルマモード）
10179,562,yamask-galar,デスマス（ガラルのすがた）
10180,618,stunfisk-galar,マッギョ（ガラルのすがた）
10181,718,zygarde-10,ジガルデ（10%フォルム）
10182,845,cramorant-gulping,ウッウ（ゴクゴクのすがた）
10183,845,cramorant-gorging,ウッウ（ゲップのすがた）
10184,849,toxtricity-low-key,ストリンダー（ローキースタイル）
10185,875,eiscue-noice,コオリッポ（ナイスフェイス）
10186,876,indeedee-female,イエッサン（メスのすがた）
10187,877,morpeko-hangry,モルペコ（はらぺこもよう）
10188,888,zacian-crowned,ザシアン（けんのおう）
10189,889,zamazenta-crowned,ザマゼンタ（たてのおう）
10190,890,eternatus-eternamax,ムゲンダイナ（ムゲンダイマックス）
10191,892,urshifu-rapid-strike,ウーラオス（れんげきのかた）
10192,893,zarude-dada,ザルード（だっこのすがた）
10193,898,calyrex-ice,バドレックス（はくばじょうのすがた）
10194,898,calyrex-shadow,バドレックス（こくばじょうのすがた）
10195,3,venusaur-gmax,フシギバナ（キョダイマックス）
10196,6,charizard-gmax,リザードン（キョダイマックス）
10197,9,blastoise-gmax,カメックス（キョダイマックス）
10198,12,butterfree-gmax,バタフリー（キョダイマックス）
10199,25,pikachu-gmax,ピカチュウ（キョダイマックス）
10200,52,meowth-gmax,ニャース（キョダイマックス）
10201,68,machamp-gmax,カイリキー（キョダイマックス）
10202,94,gengar-gmax,ゲンガー（キョダイマックス）
10203,99,kingler-gmax,キングラー（キョダイマックス）
10204,131,lapras-gmax,ラプラス（キョダイマックス）
10205,133,eevee-gmax,イーブイ（キョダイマックス）
10206,143,snorlax-gmax,カビゴン（キョダイマックス）
10207,569,garbodor-gmax,ダストダス（キョダイマックス）
10208,809,melmetal-gmax,メルメタル（キョダイマックス）
10209,812,rillaboom-gmax,ゴリランダー（キョダイマックス）
10210,815,cinderace-gmax,エースバーン（キョダイマックス）
10211,818,inteleon-gmax,インテレオン（キョダイマックス）
10212,823,corviknight-gmax,アーマーガア（キョダイマックス）
10213,826,orbeetle-gmax,イオルブ（キョダイマックス）
10214,834,drednaw-gmax,カジリガメ（キョダイマックス）
10215,839,coalossal-gmax,セキタンザン（キョダイマックス）
10216,841,flapple-gmax,アップリュー（キョダイマックス）
10217,842,appletun-gmax,タルップル（キョダイマックス）
10218,844,sandaconda-gmax,サダイジャ（キョダイマックス）
10219,849,toxtricity-amped-gmax,ストリンダー（ハイなすがた／キョダイマックス）
10220,851,centiskorch-gmax,マルヤクデ（キョダイマックス）
10221,858,hatterene-gmax,ブリムオン（キョダイマックス）
10222,861,grimmsnarl-gmax,オーロンゲ（キョダイマックス）
10223,869,alcremie-gmax,マホイップ（キョダイマックス）
10224,879,copperajah-gmax,ダイオウドウ（キョダイマックス）
10225,884,duraludon-gmax,ジュラルドン（キョダイマックス）
10226,892,urshifu-single-strike-gmax,ウーラオス（いちげきのかた／キョダイマックス）
10227,892,urshifu-rapid-strike-gmax,ウーラオス（れんげきのかた／キョダイマックス）
10228,849,toxtricity-low-key-gmax,ストリンダー（ローキースタイル／キョダイマックス）
10229,58,growlithe-hisui,ガーディ（ヒスイのすがた）
10230,59,arcanine-hisui,ウインディ（ヒスイのすがた）
10231,100,voltorb-hisui,ビリリダマ（ヒスイのすがた）
10232,101,electrode-hisui,マルマイン（ヒスイのすがた）
10233,157,typhlosion-hisui,バクフーン（ヒスイのすがた）
10234,211,qwilfish-hisui,ハリーセン（ヒスイのすがた）
10235,215,sneasel-hisui,ニューラ（ヒスイのすがた）
10236,503,samurott-hisui,ダイケンキ（ヒスイのすがた）
10237,549,lilligant-hisui,ドレディア（ヒスイのすがた）
10238,570,zorua-hisui,ゾロア（ヒスイのすがた）
10239,571,zoroark-hisui,ゾロアーク（ヒスイのすがた）
10240,628,braviary-hisui,ウォーグル（ヒスイのすがた）
10241,705,sliggoo-hisui,ヌメイル（ヒスイのすがた）
10242,706,goodra-hisui,ヌメルゴン（ヒスイのすがた）
10243,713,avalugg-hisui,クレベース（ヒスイのすがた）
10244,724,decidueye-hisui,ジュナイパー（ヒスイのすがた）
10245,483,dialga-origin,ディアルガ（オリジンフォルム）
10246,484,palkia-origin,パルキア（オリジンフォルム）
10247,550,basculin-white-striped,バスラオ（しろすじのすがた）
10248,902,basculegion-female,イダイトウ（メスのすがた）
10249,905,enamorus-therian,ラブトロス（れいじゅうフォルム）
10250,128,tauros-paldea-combat-breed,ケンタロス（パルデアのすがた／コンバット種）
10251,128,tauros-paldea-blaze-breed,ケンタロス（パルデアのすがた／ブレイズ種）
10252,128,tauros-paldea-aqua-breed,ケンタロス（パルデアのすがた／ウォーター種）
10253,194,wooper-paldea,ウパー（パルデアのすがた）
10254,916,oinkologne-female,パフュートン（メスのすがた）
10255,982,dudunsparce-three-segment,ノココッチ（サンセグメント）
10256,964,palafin-hero,イルカマン（ヒーローモード）
10257,925,maushold-family-of-three,イッカネズミ（3びきかぞく）
10258,978,tatsugiri-droopy,シャリタツ（たれながすすがた）
10259,978,tatsugiri-stretchy,シャリタツ（のびたすがた）
10260,931,squawkabilly-blue-plumage,イキリンコ（あおすじのすがた）
10261,931,squawkabilly-yellow-plumage,イキリンコ（きいろすじのすがた）
10262,931,squawkabilly-white-plumage,イキリンコ（しろすじのすがた）
10263,999,gimmighoul-roaming,コレクレー（とほフォルム）
10264,1007,koraidon-limited-build,コライドン（リミテッドユニット）
10265,1007,koraidon-sprinting-build,コライドン（スプリントモード）
10266,1007,koraidon-swimming-build,コライドン（カオスモード）
10267,1007,koraidon-gliding-build,コライドン（グライドモード）
10268,1008,miraidon-low-power-mode,ミライドン（スリープモード）
10269,1008,miraidon-drive-mode,ミライドン（ドライブモード）
10270,1008,miraidon-aquatic-mode,ミライドン（マリンモード）
10271,1008,miraidon-glide-mode,ミライドン（フロートモード）
10272,901,ursaluna-bloodmoon,ガチグマ（アカツキ）
10273,1017,ogerpon-wellspring-mask,オーガポン（いどのめん）
10274,1017,ogerpon-hearthflame-mask,オーガポン（かまどのめん）
10275,1017,ogerpon-cornerstone-mask,オーガポン（いわのめん）
10276,1024,terapagos-terastal,テラパゴス（テラスタルフォルム）
10277,1024,terapagos-stellar,テラパゴス（ステラフォルム）
