id,name,name_ja
216,dancer,おどりこ
217,battery,バッテリー
218,fluffy,もふもふ
219,dazzling,ビビッドボディ
220,soul-heart,ソウルハート
221,tangling-hair,カーリーヘアー
222,receiver,レシーバー
223,power-of-alchemy,かがくのちから
224,beast-boost,ビーストブースト
225,rks-system,ＡＲシステム
226,electric-surge,エレキメイカー
227,psychic-surge,サイコメイカー
228,misty-surge,ミストメイカー
229,grassy-surge,グラスメイカー
230,full-metal-body,メタルプロテクト
231,shadow-shield,ファントムガード
232,prism-armor,プリズムアーマー
233,neuroforce,ブレインフォース
234,intrepid-sword,ふとうのけん
235,dauntless-shield,ふくつのたて
236,libero,リベロ
237,ball-fetch,たまひろい
238,cotton-down,わたげ
239,propeller-tail,スクリューおびれ
240,mirror-armor,ミラーアーマー
241,gulp-missile,うのミサイル
242,stalwart,すじがねいり
243,steam-engine,じょうききかん
244,punk-rock,パンクロック
245,sand-spit,すなはき
246,ice-scales,こおりのりんぷん
247,ripen,じゅくせい
248,ice-face,アイスフェイス
249,power-spot,パワースポット
250,mimicry,ぎたい
251,screen-cleaner,バリアフリー
252,steely-spirit,はがねのせいしん
253,perish-body,ほろびのボディ
254,wandering-spirit,さまようたましい
255,gorilla-tactics,ごりむちゅう
256,neutralizing-gas,かがくへんかガス
257,pastel-veil,パステルベール
258,hunger-switch,はらぺこスイッチ
259,quick-draw,クイックドロウ
260,unseen-fist,ふかしのこぶし
261,curious-medicine,きみょうなくすり
262,transistor,トランジスタ
263,dragons-maw,りゅうのあぎと
264,chilling-neigh,しろのいななき
265,grim-neigh,くろのいななき
266,as-one-glastrier,じんばいったい
267,as-one-spectrier,じんばいったい
268,lingering-aroma,とれないにおい
269,seed-sower,こぼれダネ
270,thermal-exchange,ねつこうかん
271,anger-shell,いかりのこうら
272,purifying-salt,きよめのしお
273,well-baked-body,こんがりボディ
274,wind-rider,かぜのり
275,guard-dog,ばんけん
276,rocky-payload,いわはこび
277,wind-power,ふうりょくでんき
278,zero-to-hero,マイティチェンジ
279,commander,しれいとう
280,electromorphosis,でんきにかえる
281,protosynthesis,こだいかっせい
282,quark-drive,クォークチャージ
283,good-as-gold,おうごんのからだ
284,vessel-of-ruin,わざわいのうつわ
285,sword-of-ruin,わざわいのつるぎ
286,tablets-of-ruin,わざわいのおふだ
287,beads-of-ruin,わざわいのたま
288,orichalcum-pulse,ひひいろのこどう
289,hadron-engine,ハドロンエンジン
290,opportunist,びんじょう
291,cud-chew,はんすう
292,sharpness,きれあじ
293,supreme-overlord,そうだいしょう
294,costar,きょうえん
295,toxic-debris,どくげしょう
296,armor-tail,テイルアーマー
297,earth-eater,どしょく
298,mycelium-might,きんしのちから
299,minds-eye,しんがん
300,supersweet-syrup,かんろなミツ
301,hospitality,おもてなし
302,toxic-chain,どくのくさり
303,embody-aspect,おもかげやどし
304,tera-shift,テラスチェンジ
305,tera-shell,テラスシェル
306,teraform-zero,ゼロフォーミング
307,poison-puppeteer,どくくぐつ
10001,mountaineer,
10002,wave-rider,
10003,skater,
10004,thrust,
10005,perception,
10006,parry,
10007,instinct,
10008,dodge,
10009,jagged-edge,
10010,frostbite,
10011,tenacity,
10012,pride,
10013,deep-sleep,
10014,power-nap,
10015,spirit,
10016,warm-blanket,
10017,gulp,
10018,herbivore,
10019,sandpit,
10020,hot-blooded,
10021,medic,
10022,life-force,
10023,lunchbox,
10024,nurse,
10025,melee,
10026,sponge,
10027,bodyguard,
10028,hero,
10029,last-bastion,
10030,stealth,
10031,vanguard,
10032,nomad,
10033,sequence,
10034,grass-cloak,
10035,celebrate,
10036,lullaby,
10037,calming,
10038,daze,
10039,frighten,
10040,interference,
10041,mood-maker,
10042,confidence,
10043,fortune,
10044,bonanza,
10045,explode,
10046,omnipotent,
10047,share,
10048,black-hole,
10049,shadow-dash,
10050,sprint,
10051,disgust,
10052,high-rise,
10053,climber,
10054,flame-boost,
10055,aqua-boost,
10056,run-up,
10057,conqueror,
10058,shackle,
10059,decoy,
10060,shield,
